Date,Names,Loan_Purpose,Guarantor,Amount,Payment_Mode,Employment,Other Income,Marital_Status,Loan_Status,Interest_rate
2013-04-03,Propser,Business,Absence,728532,Online,Self-employed,No,Married,Approved,20%
2013-04-04,Janet,School Fees,Present,659371,Online,Self-employed,No,Married,Rejected,15%
2013-04-05,Eniola,Others,Absence,980034,Cash,Unemployed,No,Single,Rejected,20%
2013-04-06,Propser,Rent,Present,183866,Online,Self-employed,Yes,Single,Approved,20%
2013-04-07,Janet,School Fees,Present,908575,Cash,Unemployed,Yes,Single,Rejected,15%
2013-04-08,John,School Fees,Present,690600,Cash,Self-employed,Yes,Divorce,Rejected,20%
2013-04-09,Paul,School Fees,Present,380684,Online,Unemployed,No,Divorce,Rejected,8%
2013-04-10,Blessing,Food,Absence,246056,Online,Self-employed,No,Divorce,Rejected,10%
2013-04-11,Blessing,Business,Present,92190,Online,Unemployed,No,Single,Approved,8%
2013-04-12,James,Business,Present,158540,Online,Employed,No,Single,Rejected,10%
2013-04-13,Paul,Food,Present,324944,Online,Unemployed,No,Single,Approved,15%
2013-04-14,Blessing,Rent,Absence,824052,Cash,Self-employed,Yes,Single,Rejected,15%
2013-04-15,Daniel,School Fees,Present,632863,Online,Employed,No,Divorce,Rejected,20%
2013-04-16,Janet,Business,Present,258179,Cash,Unemployed,Yes,Married,Approved,8%
2013-04-17,Janet,Others,Present,625827,Online,Self-employed,Yes,Married,Approved,15%
2013-04-18,Eniola,Rent,Present,856072,Cash,Employed,Yes,Divorce,Approved,8%
2013-04-19,Eniola,Rent,Present,553655,Online,Employed,No,Single,Approved,15%
2013-04-20,Esther,School Fees,Absence,93763,Cash,Employed,No,Single,Rejected,10%
2013-04-21,Propser,School Fees,Present,200976,Cash,Self-employed,Yes,Single,Rejected,20%
2013-04-22,Eniola,Others,Present,689292,Online,Employed,Yes,Married,Rejected,8%
2013-04-23,Queen,Business,Absence,549457,Online,Employed,Yes,Divorce,Rejected,20%
2013-04-24,James,Food,Absence,642984,Online,Unemployed,No,Married,Approved,10%
2013-04-25,Paul,Business,Present,107741,Cash,Self-employed,No,Married,Approved,15%
2013-04-26,Propser,Others,Present,254451,Online,Employed,Yes,Married,Approved,20%
2013-04-27,Esther,Others,Absence,496395,Cash,Unemployed,Yes,Single,Rejected,15%
2013-04-28,Janet,Others,Absence,585218,Cash,Self-employed,Yes,Divorce,Rejected,15%
2013-04-29,Janet,Rent,Absence,388803,Cash,Unemployed,No,Married,Rejected,20%
2013-04-30,Propser,Food,Present,535697,Cash,Unemployed,No,Divorce,Approved,20%
2013-05-01,Queen,Business,Present,221411,Online,Self-employed,Yes,Single,Rejected,8%
2013-05-02,John,Food,Present,686993,Online,Self-employed,Yes,Married,Rejected,20%
2013-05-03,Propser,Rent,Present,945963,Online,Self-employed,Yes,Married,Approved,20%
2013-05-04,Esther,Rent,Absence,717123,Cash,Unemployed,Yes,Divorce,Approved,20%
2013-05-05,John,Food,Absence,845838,Cash,Unemployed,No,Divorce,Approved,8%
2013-05-06,Paul,Food,Absence,410719,Online,Unemployed,No,Divorce,Approved,8%
2013-05-07,Blessing,Others,Absence,225928,Online,Unemployed,Yes,Divorce,Rejected,10%
2013-05-08,James,School Fees,Present,476770,Cash,Employed,No,Single,Approved,20%
2013-05-09,Janet,Rent,Absence,953049,Cash,Self-employed,No,Single,Approved,15%
2013-05-10,Blessing,Rent,Present,209740,Cash,Employed,No,Divorce,Approved,8%
2013-05-11,Janet,Others,Absence,837003,Online,Self-employed,No,Married,Approved,20%
2013-05-12,Esther,Food,Present,661006,Cash,Unemployed,No,Married,Approved,8%
2013-05-13,Queen,School Fees,Absence,977831,Cash,Self-employed,Yes,Married,Rejected,20%
2013-05-14,Esther,School Fees,Absence,627906,Online,Self-employed,No,Married,Rejected,15%
2013-05-15,Paul,Rent,Present,630259,Cash,Self-employed,No,Single,Rejected,15%
2013-05-16,Daniel,Rent,Absence,621936,Online,Self-employed,Yes,Single,Approved,15%
2013-05-17,Janet,School Fees,Present,587079,Cash,Unemployed,No,Married,Rejected,10%
2013-05-18,Daniel,Others,Absence,503716,Cash,Unemployed,No,Divorce,Approved,8%
2013-05-19,Queen,Rent,Present,337505,Cash,Unemployed,Yes,Married,Approved,8%
2013-05-20,Eniola,Business,Present,370578,Cash,Unemployed,Yes,Divorce,Rejected,15%
2013-05-21,Paul,School Fees,Present,800095,Cash,Unemployed,No,Single,Approved,8%
2013-05-22,Paul,School Fees,Absence,792858,Online,Unemployed,Yes,Single,Approved,8%
2013-05-23,John,School Fees,Absence,255334,Cash,Employed,Yes,Married,Rejected,8%
2013-05-24,Daniel,Others,Present,322400,Online,Unemployed,No,Single,Rejected,20%
2013-05-25,Queen,Food,Present,941270,Cash,Self-employed,Yes,Single,Approved,8%
2013-05-26,James,Food,Absence,940343,Cash,Employed,No,Married,Approved,20%
2013-05-27,Queen,Food,Absence,264490,Online,Self-employed,No,Married,Rejected,10%
2013-05-28,Queen,Rent,Present,482960,Online,Self-employed,No,Single,Rejected,10%
2013-05-29,Daniel,Business,Present,743985,Cash,Unemployed,No,Single,Approved,15%
2013-05-30,James,Others,Absence,392348,Cash,Self-employed,Yes,Married,Approved,15%
2013-05-31,Eniola,School Fees,Absence,744231,Cash,Employed,Yes,Single,Rejected,8%
2013-06-01,Janet,Others,Absence,837098,Online,Unemployed,Yes,Divorce,Rejected,20%
2013-06-02,Paul,Rent,Present,843849,Online,Employed,Yes,Married,Approved,10%
2013-06-03,Eniola,Business,Present,391603,Cash,Self-employed,No,Divorce,Approved,20%
2013-06-04,Esther,Food,Absence,475246,Cash,Employed,Yes,Divorce,Rejected,20%
2013-06-05,Esther,School Fees,Present,771388,Online,Self-employed,No,Single,Approved,20%
2013-06-06,Queen,School Fees,Present,468793,Online,Employed,No,Married,Rejected,20%
2013-06-07,Propser,School Fees,Present,329420,Online,Self-employed,Yes,Divorce,Rejected,15%
2013-06-08,Esther,Food,Absence,176826,Cash,Employed,No,Single,Approved,20%
2013-06-09,Propser,Rent,Absence,266146,Cash,Employed,No,Divorce,Rejected,20%
2013-06-10,John,Others,Present,833540,Online,Unemployed,Yes,Single,Approved,8%
2013-06-11,Queen,Food,Present,543582,Cash,Self-employed,Yes,Single,Approved,8%
2013-06-12,Propser,Business,Absence,706163,Online,Unemployed,No,Single,Rejected,10%
2013-06-13,Daniel,Food,Present,813111,Online,Employed,No,Single,Approved,10%
2013-06-14,Queen,School Fees,Present,615209,Cash,Employed,Yes,Married,Approved,10%
2013-06-15,James,Rent,Present,417260,Cash,Unemployed,Yes,Married,Rejected,15%
2013-06-16,Blessing,Business,Absence,159037,Cash,Employed,Yes,Single,Rejected,8%
2013-06-17,Blessing,School Fees,Absence,135566,Cash,Employed,Yes,Single,Approved,20%
2013-06-18,John,Food,Absence,538164,Online,Self-employed,No,Married,Rejected,8%
2013-06-19,Eniola,School Fees,Absence,764466,Online,Self-employed,No,Married,Approved,8%
2013-06-20,James,Business,Absence,105590,Online,Unemployed,No,Divorce,Rejected,15%
2013-06-21,John,School Fees,Present,963009,Online,Self-employed,Yes,Single,Rejected,10%
2013-06-22,James,Business,Present,436449,Online,Self-employed,No,Single,Rejected,10%
2013-06-23,Eniola,Business,Present,130703,Cash,Employed,Yes,Single,Rejected,20%
2013-06-24,James,School Fees,Present,837500,Cash,Unemployed,Yes,Single,Approved,10%
2013-06-25,John,Rent,Absence,740922,Cash,Unemployed,Yes,Single,Rejected,15%
2013-06-26,James,School Fees,Present,741452,Online,Self-employed,Yes,Divorce,Rejected,15%
2013-06-27,Queen,Food,Present,150915,Cash,Self-employed,No,Married,Approved,10%
2013-06-28,John,Business,Absence,259521,Online,Unemployed,No,Divorce,Approved,8%
2013-06-29,John,Food,Absence,629689,Cash,Employed,No,Divorce,Rejected,15%
2013-06-30,Blessing,Others,Present,595674,Online,Unemployed,Yes,Married,Rejected,20%
2013-07-01,Janet,Rent,Present,263482,Cash,Self-employed,No,Single,Approved,8%
2013-07-02,Paul,Business,Absence,652463,Cash,Unemployed,Yes,Divorce,Approved,8%
2013-07-03,James,Others,Present,202768,Online,Employed,No,Single,Rejected,20%
2013-07-04,Propser,Business,Absence,961046,Cash,Unemployed,Yes,Divorce,Rejected,20%
2013-07-05,John,Food,Absence,521867,Online,Self-employed,Yes,Single,Rejected,8%
2013-07-06,Esther,School Fees,Absence,469666,Cash,Employed,Yes,Married,Rejected,15%
2013-07-07,James,School Fees,Present,128610,Cash,Employed,Yes,Single,Rejected,20%
2013-07-08,Esther,Rent,Present,339668,Cash,Unemployed,No,Divorce,Rejected,20%
2013-07-09,Esther,Food,Present,854160,Online,Self-employed,No,Divorce,Approved,20%
2013-07-10,Daniel,Food,Present,411406,Cash,Unemployed,No,Divorce,Approved,8%
2013-07-11,Blessing,School Fees,Present,338034,Online,Unemployed,Yes,Single,Rejected,15%
2013-07-12,Paul,Business,Present,781600,Cash,Unemployed,Yes,Single,Rejected,15%
2013-07-13,James,School Fees,Absence,595423,Cash,Self-employed,No,Married,Rejected,10%
2013-07-14,James,Others,Present,324071,Online,Unemployed,No,Single,Rejected,15%
2013-07-15,Janet,Food,Absence,993011,Cash,Unemployed,Yes,Married,Rejected,8%
2013-07-16,John,Rent,Absence,732587,Online,Employed,No,Divorce,Approved,20%
2013-07-17,Esther,Business,Present,911143,Cash,Employed,Yes,Divorce,Rejected,8%
2013-07-18,Janet,Others,Absence,883945,Cash,Employed,Yes,Married,Approved,10%
2013-07-19,Esther,Others,Absence,820436,Online,Unemployed,Yes,Single,Approved,15%
2013-07-20,John,Rent,Absence,446225,Online,Unemployed,No,Divorce,Approved,20%
2013-07-21,Esther,Rent,Absence,709792,Cash,Unemployed,Yes,Married,Rejected,8%
2013-07-22,Queen,Rent,Absence,92120,Cash,Unemployed,No,Married,Approved,8%
2013-07-23,James,School Fees,Absence,101677,Cash,Unemployed,Yes,Married,Approved,8%
2013-07-24,Daniel,Business,Present,866164,Online,Employed,Yes,Divorce,Approved,20%
2013-07-25,Blessing,Food,Present,847632,Cash,Self-employed,Yes,Single,Rejected,8%
2013-07-26,Janet,Rent,Present,143532,Online,Unemployed,Yes,Divorce,Approved,8%
2013-07-27,James,School Fees,Absence,847838,Cash,Unemployed,Yes,Divorce,Approved,10%
2013-07-28,Esther,Others,Present,838514,Cash,Unemployed,No,Married,Approved,10%
2013-07-29,Paul,Rent,Present,889579,Cash,Employed,Yes,Single,Rejected,10%
2013-07-30,Daniel,School Fees,Absence,636958,Online,Self-employed,No,Divorce,Rejected,10%
2013-07-31,Janet,Others,Present,321340,Online,Employed,Yes,Divorce,Rejected,20%
2013-08-01,Queen,School Fees,Present,883261,Online,Employed,No,Single,Approved,10%
2013-08-02,Esther,Food,Absence,819399,Cash,Self-employed,No,Divorce,Rejected,20%
2013-08-03,Daniel,School Fees,Absence,101823,Cash,Employed,Yes,Single,Rejected,10%
2013-08-04,Queen,Others,Present,287978,Online,Self-employed,No,Divorce,Rejected,10%
2013-08-05,Queen,Others,Present,492236,Cash,Employed,No,Divorce,Approved,10%
2013-08-06,James,Others,Present,749712,Cash,Unemployed,No,Divorce,Rejected,20%
2013-08-07,Esther,Others,Present,776014,Online,Unemployed,No,Divorce,Approved,10%
2013-08-08,Daniel,School Fees,Absence,463800,Online,Self-employed,Yes,Divorce,Rejected,8%
2013-08-09,Eniola,Business,Absence,566063,Cash,Self-employed,Yes,Divorce,Rejected,8%
2013-08-10,John,School Fees,Present,420665,Cash,Unemployed,Yes,Single,Rejected,10%
2013-08-11,John,Business,Present,767700,Cash,Employed,No,Married,Rejected,10%
2013-08-12,Blessing,Food,Present,867766,Cash,Employed,Yes,Single,Rejected,8%
2013-08-13,Janet,Rent,Present,473293,Online,Unemployed,No,Married,Approved,20%
2013-08-14,Queen,Others,Absence,470454,Cash,Self-employed,Yes,Married,Approved,15%
2013-08-15,James,School Fees,Present,728164,Online,Self-employed,Yes,Married,Approved,10%
2013-08-16,James,School Fees,Present,920987,Cash,Employed,No,Single,Approved,15%
2013-08-17,Esther,Food,Absence,738958,Online,Employed,Yes,Divorce,Approved,10%
2013-08-18,James,Others,Absence,421751,Cash,Self-employed,Yes,Divorce,Approved,15%
2013-08-19,Janet,School Fees,Absence,948961,Online,Unemployed,No,Divorce,Rejected,10%
2013-08-20,Esther,Others,Present,513790,Online,Self-employed,Yes,Single,Approved,20%
2013-08-21,Paul,Rent,Absence,408458,Online,Self-employed,No,Married,Rejected,15%
2013-08-22,Esther,Others,Absence,931750,Online,Employed,No,Divorce,Rejected,8%
2013-08-23,Daniel,School Fees,Absence,381234,Online,Employed,Yes,Married,Rejected,8%
2013-08-24,Janet,Others,Absence,950597,Cash,Self-employed,No,Single,Rejected,8%
2013-08-25,John,Others,Present,191024,Online,Employed,No,Divorce,Rejected,15%
2013-08-26,James,Business,Absence,157947,Online,Unemployed,No,Married,Approved,8%
2013-08-27,Paul,Rent,Absence,215475,Online,Employed,No,Single,Rejected,15%
2013-08-28,John,School Fees,Absence,560618,Online,Self-employed,Yes,Single,Rejected,20%
2013-08-29,Propser,Others,Present,803561,Online,Employed,Yes,Divorce,Approved,8%
2013-08-30,Daniel,Others,Absence,817645,Cash,Unemployed,No,Single,Approved,10%
2013-08-31,Propser,School Fees,Absence,274700,Cash,Employed,No,Married,Rejected,15%
2013-09-01,Daniel,Business,Present,985997,Online,Employed,Yes,Married,Rejected,20%
2013-09-02,Queen,Others,Present,608059,Online,Unemployed,Yes,Single,Rejected,10%
2013-09-03,Daniel,Rent,Absence,292659,Cash,Self-employed,Yes,Married,Approved,15%
2013-09-04,Propser,Rent,Absence,83289,Cash,Unemployed,Yes,Single,Rejected,20%
2013-09-05,Blessing,School Fees,Present,69857,Online,Employed,Yes,Divorce,Approved,8%
2013-09-06,Blessing,School Fees,Absence,496063,Online,Unemployed,Yes,Single,Rejected,15%
2013-09-07,Janet,School Fees,Present,499303,Cash,Employed,No,Divorce,Rejected,15%
2013-09-08,Blessing,Others,Absence,616297,Cash,Unemployed,No,Divorce,Approved,10%
2013-09-09,Blessing,Others,Present,95058,Cash,Self-employed,Yes,Single,Approved,10%
2013-09-10,Daniel,Business,Absence,361673,Cash,Unemployed,Yes,Married,Rejected,20%
2013-09-11,Queen,Business,Absence,549324,Cash,Employed,No,Married,Approved,20%
2013-09-12,Janet,School Fees,Present,952571,Online,Unemployed,No,Divorce,Rejected,10%
2013-09-13,Propser,Business,Absence,445556,Online,Self-employed,No,Single,Approved,8%
2013-09-14,Daniel,Others,Absence,985049,Online,Unemployed,No,Divorce,Approved,15%
2013-09-15,Paul,School Fees,Present,101786,Online,Employed,Yes,Married,Approved,10%
2013-09-16,James,Business,Present,728609,Online,Unemployed,Yes,Divorce,Approved,10%
2013-09-17,John,Rent,Absence,610216,Online,Employed,Yes,Divorce,Rejected,15%
2013-09-18,James,Rent,Absence,465842,Cash,Unemployed,Yes,Single,Rejected,20%
2013-09-19,Eniola,Others,Present,308377,Online,Employed,Yes,Single,Rejected,15%
2013-09-20,Paul,Food,Absence,326852,Online,Employed,Yes,Married,Rejected,8%
2013-09-21,Queen,Others,Absence,703263,Online,Self-employed,Yes,Divorce,Rejected,15%
2013-09-22,John,Food,Absence,762095,Cash,Self-employed,Yes,Married,Rejected,20%
2013-09-23,Queen,Rent,Present,97692,Online,Unemployed,Yes,Divorce,Rejected,10%
2013-09-24,Esther,Rent,Present,981685,Online,Unemployed,No,Married,Approved,8%
2013-09-25,James,Business,Present,945312,Cash,Self-employed,No,Divorce,Rejected,10%
2013-09-26,Esther,Business,Absence,382430,Online,Unemployed,Yes,Married,Rejected,8%
2013-09-27,Propser,Others,Absence,318529,Cash,Employed,Yes,Single,Rejected,20%
2013-09-28,Esther,Food,Present,890001,Online,Employed,No,Single,Rejected,10%
2013-09-29,Paul,Food,Absence,300646,Cash,Employed,Yes,Divorce,Rejected,20%
2013-09-30,Paul,Rent,Absence,103016,Online,Employed,Yes,Divorce,Rejected,10%
2013-10-01,John,Business,Absence,763516,Online,Self-employed,Yes,Married,Approved,8%
2013-10-02,Esther,Others,Absence,573307,Online,Self-employed,Yes,Single,Approved,15%
2013-10-03,Propser,Others,Absence,179929,Cash,Unemployed,No,Married,Approved,20%
2013-10-04,Eniola,Business,Absence,374718,Online,Employed,Yes,Single,Rejected,10%
2013-10-05,James,School Fees,Present,929703,Online,Employed,No,Single,Approved,20%
2013-10-06,Daniel,School Fees,Present,226694,Cash,Self-employed,No,Married,Approved,15%
2013-10-07,Janet,School Fees,Absence,643820,Online,Self-employed,Yes,Single,Rejected,8%
2013-10-08,Paul,School Fees,Absence,997123,Cash,Unemployed,Yes,Single,Approved,15%
2013-10-09,Esther,Food,Absence,894349,Cash,Self-employed,Yes,Divorce,Rejected,8%
2013-10-10,Blessing,Rent,Absence,176987,Cash,Self-employed,Yes,Divorce,Rejected,10%
2013-10-11,Propser,Others,Present,382619,Online,Self-employed,No,Single,Rejected,10%
2013-10-12,Queen,School Fees,Present,947363,Cash,Unemployed,No,Single,Rejected,8%
2013-10-13,Propser,School Fees,Absence,634914,Online,Employed,Yes,Single,Approved,20%
2013-10-14,Queen,Food,Present,891599,Online,Self-employed,Yes,Married,Rejected,10%
2013-10-15,Paul,Rent,Present,556291,Cash,Unemployed,No,Divorce,Rejected,15%
2013-10-16,Daniel,School Fees,Absence,925414,Online,Unemployed,Yes,Married,Rejected,15%
2013-10-17,Propser,Business,Present,434971,Cash,Unemployed,No,Single,Approved,8%
2013-10-18,Paul,Business,Present,564126,Online,Self-employed,No,Divorce,Rejected,10%
2013-10-19,Eniola,Rent,Absence,400660,Cash,Unemployed,No,Divorce,Approved,20%
2013-10-20,Queen,Rent,Present,767635,Cash,Self-employed,No,Married,Rejected,8%
2013-10-21,Janet,Others,Absence,797336,Cash,Employed,Yes,Single,Rejected,15%
2013-10-22,Blessing,School Fees,Absence,142505,Online,Self-employed,No,Single,Approved,8%
2013-10-23,James,Business,Absence,101951,Cash,Employed,Yes,Married,Approved,10%
2013-10-24,James,Business,Present,235260,Online,Employed,No,Married,Rejected,8%
2013-10-25,Queen,Business,Present,687990,Cash,Employed,No,Divorce,Approved,10%
2013-10-26,Janet,Others,Absence,101846,Cash,Self-employed,No,Divorce,Rejected,8%
2013-10-27,John,Rent,Absence,447698,Online,Employed,Yes,Single,Rejected,10%
2013-10-28,John,Rent,Present,127742,Online,Employed,Yes,Married,Approved,8%
2013-10-29,Propser,School Fees,Absence,373302,Cash,Employed,No,Divorce,Approved,15%
2013-10-30,Daniel,Others,Present,874114,Cash,Self-employed,Yes,Married,Rejected,15%
2013-10-31,Esther,Food,Absence,415963,Online,Self-employed,No,Married,Approved,15%
2013-11-01,Janet,Rent,Present,457233,Online,Self-employed,Yes,Divorce,Approved,20%
2013-11-02,Daniel,School Fees,Absence,349465,Online,Unemployed,No,Single,Approved,8%
2013-11-03,Blessing,Others,Absence,901022,Cash,Unemployed,No,Divorce,Approved,10%
2013-11-04,Blessing,School Fees,Absence,289814,Online,Employed,No,Married,Approved,8%
2013-11-05,Eniola,Business,Absence,519011,Online,Self-employed,Yes,Single,Approved,10%
2013-11-06,Eniola,Others,Absence,212208,Cash,Employed,No,Married,Approved,20%
2013-11-07,Esther,School Fees,Absence,232367,Online,Employed,Yes,Divorce,Approved,20%
2013-11-08,Daniel,Food,Present,376724,Online,Self-employed,No,Divorce,Approved,15%
2013-11-09,Paul,Business,Present,673260,Cash,Self-employed,No,Single,Approved,20%
2013-11-10,Queen,Others,Absence,443865,Online,Self-employed,No,Divorce,Approved,8%
2013-11-11,Queen,Rent,Present,461556,Online,Self-employed,No,Single,Approved,10%
2013-11-12,Daniel,Others,Absence,708329,Online,Employed,No,Divorce,Approved,10%
2013-11-13,James,Others,Absence,99476,Cash,Unemployed,Yes,Divorce,Approved,20%
2013-11-14,Paul,Food,Absence,925015,Cash,Employed,No,Married,Approved,15%
2013-11-15,John,School Fees,Absence,847904,Online,Employed,No,Divorce,Rejected,10%
2013-11-16,Esther,Rent,Present,632425,Cash,Self-employed,Yes,Divorce,Rejected,15%
2013-11-17,Eniola,Others,Absence,712570,Online,Unemployed,No,Married,Approved,20%
2013-11-18,Paul,Business,Absence,860450,Online,Unemployed,Yes,Divorce,Rejected,20%
2013-11-19,Daniel,Others,Present,387309,Online,Self-employed,No,Single,Rejected,8%
2013-11-20,Paul,School Fees,Absence,402459,Online,Unemployed,No,Divorce,Approved,15%
2013-11-21,Propser,Others,Present,284509,Online,Employed,No,Single,Approved,10%
2013-11-22,James,Food,Absence,742266,Online,Unemployed,No,Divorce,Approved,10%
2013-11-23,Eniola,Business,Absence,808840,Online,Self-employed,Yes,Divorce,Approved,10%
2013-11-24,Daniel,Business,Absence,512659,Cash,Employed,Yes,Married,Approved,15%
2013-11-25,Propser,School Fees,Present,216299,Online,Employed,No,Divorce,Approved,20%
2013-11-26,Blessing,Rent,Present,551499,Online,Self-employed,Yes,Divorce,Approved,15%
2013-11-27,John,Others,Present,551637,Online,Employed,No,Divorce,Rejected,10%
2013-11-28,Propser,School Fees,Present,420623,Online,Self-employed,Yes,Divorce,Rejected,10%
2013-11-29,Daniel,Others,Absence,470695,Online,Unemployed,No,Single,Rejected,20%
2013-11-30,James,Food,Absence,188320,Online,Employed,No,Married,Rejected,8%
2013-12-01,Paul,Business,Absence,375167,Cash,Unemployed,Yes,Married,Rejected,10%
2013-12-02,Propser,Others,Present,874411,Cash,Self-employed,Yes,Divorce,Rejected,10%
2013-12-03,Blessing,Business,Absence,291773,Online,Self-employed,Yes,Divorce,Approved,20%
2013-12-04,Queen,Food,Absence,925918,Online,Unemployed,Yes,Divorce,Rejected,8%
2013-12-05,Eniola,School Fees,Present,378304,Online,Self-employed,No,Divorce,Rejected,15%
2013-12-06,Esther,Food,Present,951784,Online,Employed,No,Divorce,Rejected,20%
2013-12-07,Daniel,Food,Present,470813,Cash,Self-employed,Yes,Married,Rejected,8%
2013-12-08,Daniel,School Fees,Absence,472057,Online,Self-employed,No,Divorce,Approved,20%
2013-12-09,Eniola,School Fees,Absence,312205,Online,Unemployed,Yes,Married,Rejected,15%
2013-12-10,Blessing,Food,Absence,279307,Cash,Unemployed,No,Married,Approved,20%
2013-12-11,Esther,School Fees,Present,702307,Cash,Employed,No,Single,Approved,8%
2013-12-12,Daniel,Rent,Absence,418200,Online,Self-employed,No,Divorce,Approved,10%
2013-12-13,Daniel,Rent,Absence,872137,Online,Self-employed,No,Married,Approved,20%
2013-12-14,Esther,Others,Present,399011,Online,Employed,Yes,Married,Rejected,10%
2013-12-15,Propser,School Fees,Absence,185005,Online,Employed,No,Married,Rejected,15%
2013-12-16,Blessing,Business,Absence,688716,Online,Self-employed,No,Single,Rejected,8%
2013-12-17,Daniel,School Fees,Absence,161255,Online,Employed,No,Married,Approved,8%
2013-12-18,Esther,School Fees,Absence,980939,Online,Self-employed,Yes,Single,Rejected,8%
2013-12-19,Queen,Rent,Absence,958279,Cash,Employed,Yes,Single,Rejected,20%
2013-12-20,Janet,School Fees,Absence,449679,Cash,Unemployed,Yes,Divorce,Rejected,20%
2013-12-21,Blessing,School Fees,Present,598134,Online,Self-employed,No,Married,Approved,10%
2013-12-22,Blessing,School Fees,Present,968787,Cash,Unemployed,No,Divorce,Rejected,8%
2013-12-23,Daniel,Business,Absence,180294,Cash,Unemployed,No,Married,Approved,15%
2013-12-24,Esther,Food,Present,544491,Online,Unemployed,No,Divorce,Rejected,8%
2013-12-25,Queen,School Fees,Present,861842,Cash,Unemployed,No,Divorce,Approved,15%
2013-12-26,Eniola,Food,Present,905589,Online,Unemployed,No,Single,Rejected,8%
2013-12-27,James,Others,Absence,438670,Cash,Unemployed,No,Married,Rejected,15%
2013-12-28,Paul,Others,Present,874478,Online,Self-employed,Yes,Single,Rejected,20%
2013-12-29,Propser,Others,Present,976891,Online,Employed,Yes,Divorce,Rejected,20%
2013-12-30,Janet,Rent,Absence,160263,Online,Employed,Yes,Single,Rejected,15%
2013-12-31,Esther,Rent,Present,822435,Online,Unemployed,No,Single,Rejected,8%
2014-01-01,Eniola,Business,Present,805190,Cash,Unemployed,Yes,Married,Rejected,10%
2014-01-02,Daniel,Others,Absence,816710,Cash,Employed,No,Divorce,Rejected,10%
2014-01-03,Blessing,School Fees,Absence,268559,Cash,Self-employed,No,Single,Approved,10%
2014-01-04,Esther,School Fees,Present,958976,Online,Self-employed,Yes,Single,Rejected,20%
2014-01-05,Propser,Rent,Absence,973659,Online,Unemployed,No,Married,Rejected,20%
2014-01-06,Blessing,Food,Present,501671,Cash,Self-employed,No,Married,Rejected,10%
2014-01-07,Queen,Others,Absence,596418,Cash,Self-employed,No,Divorce,Rejected,20%
2014-01-08,Paul,Rent,Present,428087,Cash,Self-employed,No,Married,Rejected,20%
2014-01-09,Esther,Business,Present,508859,Cash,Self-employed,No,Single,Approved,20%
2014-01-10,Queen,Others,Present,133483,Online,Employed,No,Divorce,Rejected,10%
2014-01-11,John,Rent,Present,790022,Online,Self-employed,Yes,Divorce,Rejected,10%
2014-01-12,Queen,Others,Present,510526,Online,Employed,No,Married,Approved,20%
2014-01-13,Eniola,Rent,Present,406224,Cash,Unemployed,No,Single,Approved,10%
2014-01-14,Propser,Food,Present,260241,Online,Self-employed,Yes,Married,Approved,15%
2014-01-15,John,Rent,Absence,419927,Online,Unemployed,No,Married,Rejected,20%
2014-01-16,Janet,Rent,Present,961732,Online,Self-employed,Yes,Single,Rejected,10%
2014-01-17,Paul,Food,Present,431263,Cash,Employed,Yes,Single,Rejected,8%
2014-01-18,Blessing,Business,Present,759075,Online,Self-employed,No,Divorce,Rejected,10%
2014-01-19,Blessing,Business,Absence,263768,Cash,Self-employed,Yes,Single,Rejected,8%
2014-01-20,Propser,Business,Present,826183,Cash,Unemployed,Yes,Married,Approved,15%
2014-01-21,Blessing,Others,Absence,804598,Cash,Employed,Yes,Married,Approved,8%
2014-01-22,Esther,Business,Absence,176748,Cash,Employed,No,Divorce,Rejected,10%
2014-01-23,Eniola,Food,Absence,310375,Online,Employed,No,Divorce,Rejected,20%
2014-01-24,Queen,Food,Present,204427,Cash,Unemployed,No,Divorce,Rejected,15%
2014-01-25,Eniola,Rent,Present,879450,Cash,Employed,Yes,Single,Approved,10%
2014-01-26,Blessing,Rent,Present,370135,Online,Self-employed,No,Divorce,Approved,20%
2014-01-27,Queen,Food,Present,732063,Online,Unemployed,Yes,Single,Approved,15%
2014-01-28,John,Others,Present,430630,Cash,Employed,Yes,Divorce,Approved,15%
2014-01-29,Queen,Others,Absence,279406,Online,Unemployed,No,Single,Rejected,20%
2014-01-30,Propser,Food,Absence,272608,Cash,Unemployed,No,Divorce,Approved,10%
2014-01-31,Paul,Rent,Present,473325,Cash,Unemployed,No,Divorce,Rejected,20%
2014-02-01,John,School Fees,Absence,766951,Online,Unemployed,Yes,Married,Approved,20%
2014-02-02,Eniola,Others,Absence,343771,Online,Self-employed,Yes,Divorce,Approved,8%
2014-02-03,Daniel,School Fees,Present,899174,Cash,Unemployed,Yes,Married,Approved,8%
2014-02-04,Propser,Others,Present,78221,Cash,Unemployed,No,Married,Rejected,8%
2014-02-05,James,Others,Present,264785,Cash,Employed,No,Single,Rejected,20%
2014-02-06,Blessing,School Fees,Absence,476712,Cash,Self-employed,No,Married,Approved,10%
2014-02-07,Queen,Others,Absence,332993,Cash,Self-employed,Yes,Single,Approved,15%
2014-02-08,Propser,Food,Present,929234,Cash,Employed,Yes,Married,Approved,15%
2014-02-09,Eniola,School Fees,Present,951600,Online,Unemployed,Yes,Married,Approved,8%
2014-02-10,Paul,Business,Present,859887,Online,Employed,Yes,Single,Rejected,20%
2014-02-11,Propser,Others,Present,836720,Online,Unemployed,Yes,Married,Approved,20%
